"","gender","age","region","subjectID","experimentName","item","verbtype","complementizer","prosody","naturalness","veridicality","comment"
"247","F","20s","MA",4.84e+14,"veridicality-pilot2","painter","gieok","go","MV",6,4,""
"248","F","20s","MA",4.84e+14,"veridicality-pilot2","come","moreu","jul2","MV",6,7,""
"249","F","20s","MA",4.84e+14,"veridicality-pilot2","come","ggameok","jul2","EV",5,6,""
"250","F","20s","MA",4.84e+14,"veridicality-pilot2","come","al","jul2","MV",6,7,""
"251","F","20s","MA",4.84e+14,"veridicality-pilot2","come","moreu","go","MV",5,7,""
"252","F","20s","MA",4.84e+14,"veridicality-pilot2","marry","alanae","jul2","MV",6,6,""
"253","F","20s","MA",4.84e+14,"veridicality-pilot2","come","al","go","MV",5,4,""
"254","F","20s","MA",4.84e+14,"veridicality-pilot2","painter","alanae","jul2","ES",4,4,""
"255","F","20s","MA",4.84e+14,"veridicality-pilot2","painter","ggameok","jul2","MV",5,6,""
"256","F","20s","MA",4.84e+14,"veridicality-pilot2","marry","mit","go","MV",6,2,""
"257","F","20s","MA",4.84e+14,"veridicality-pilot2","come","gieok","go","ES",5,3,""
"258","F","20s","MA",4.84e+14,"veridicality-pilot2","marry","mit","jul2","MV",4,1,""
"259","F","20s","MA",4.84e+14,"veridicality-pilot2","come","gieok","jul2","EV",5,4,""
"260","F","20s","MA",4.84e+14,"veridicality-pilot2","come","ggameok","go","ES",4,2,""
"261","F","20s","nonUS",5.02e+14,"veridicality-pilot2","marry","moreu","go","ES",3,5,""
"262","F","20s","nonUS",5.02e+14,"veridicality-pilot2","marry","alanae","jul1","MV",5,5,""
"263","F","20s","nonUS",5.02e+14,"veridicality-pilot2","come","moreu","go","MV",3,4,""
"264","F","20s","nonUS",5.02e+14,"veridicality-pilot2","painter","alanae","jul1","ES",4,3,""
"265","F","20s","nonUS",5.02e+14,"veridicality-pilot2","marry","mit","jul1","MV",3,6,""
"266","F","20s","nonUS",5.02e+14,"veridicality-pilot2","come","al","jul1","MV",5,2,""
"267","F","20s","nonUS",5.02e+14,"veridicality-pilot2","painter","ggameok","jul1","MV",2,6,""
"268","F","20s","nonUS",5.02e+14,"veridicality-pilot2","marry","al","go","ES",6,6,""
"269","F","20s","nonUS",5.02e+14,"veridicality-pilot2","come","ggameok","jul1","EV",3,6,""
"270","F","20s","nonUS",5.02e+14,"veridicality-pilot2","marry","mit","go","MV",5,3,""
"271","F","20s","nonUS",5.02e+14,"veridicality-pilot2","come","al","go","MV",6,5,""
"272","F","20s","nonUS",5.02e+14,"veridicality-pilot2","come","ggameok","go","ES",2,6,""
"273","F","20s","nonUS",5.02e+14,"veridicality-pilot2","painter","gieok","go","MV",4,2,""
"274","F","20s","nonUS",5.02e+14,"veridicality-pilot2","marry","moreu","jul1","EV",6,6,""
"275","F","20s","nonUS",5.02e+14,"veridicality-pilot2","marry","al","jul1","EV",5,3,""
"276","F","20s","nonUS",5.02e+14,"veridicality-pilot2","painter","alanae","go","EV",5,3,""
"277","F","20s","nonUS",5.02e+14,"veridicality-pilot2","painter","mit","go","EV",7,2,""
"278","F","20s","nonUS",5.02e+14,"veridicality-pilot2","painter","ggameok","go","MV",3,6,""
"279","F","20s","nonUS",5.02e+14,"veridicality-pilot2","marry","alanae","go","MV",6,6,""
"280","F","20s","nonUS",5.02e+14,"veridicality-pilot2","come","gieok","jul1","EV",3,3,""
